price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
35000000,2,52.7,1/5,0.2,Медеуский р-н,0.69,2019,no_info,no_info,no_info,металлическая,ADSL,no_info,полностью,линолеум,2.8
22000000,1,33.0,3/5,0.6,Алмалинский р-н,0.075,1984,no_info,балкон,да,металлическая,ADSL,рядом охраняемая стоянка,частично,ламинат,2.8
35000000,3,61.0,5/10,0.5,Наурызбайский р-н,0.11,2022,совмещенный,лоджия,да,металлическая,ADSL,no_info,no_info,ламинат,2.7
33000000,3,59.0,1/4,0.25,Бостандыкский р-н,1.0,1971,no_info,no_info,no_info,металлическая,no_info,no_info,частично,ламинат,
60000000,3,105.0,12/12,1.0,Ауэзовский р-н,0.51,2023,no_info,лоджия,да,металлическая,no_info,паркинг,no_info,no_info,3
35700000,3,64.0,1/5,0.2,Турксибский р-н,0.083,1986,no_info,несколько балконов или лоджий,да,бронированная,проводной,рядом охраняемая стоянка,полностью,ламинат,2.9
32500000,1,40.0,3/9,0.33,Бостандыкский р-н,1.0,1980,no_info,no_info,no_info,металлическая,no_info,no_info,полностью,no_info,
35000000,1,40.0,12/13,0.92,Бостандыкский р-н,1.0,2014,no_info,балкон,да,бронированная,оптика,рядом охраняемая стоянка,частично,ламинат,3
21300000,1,30.0,10/12,0.83,Алмалинский р-н,0.075,2023,no_info,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,2.7
35000000,3,83.0,5/5,1.0,Алатауский р-н,1e-10,2014,no_info,несколько балконов или лоджий,no_info,металлическая,через TV кабель,no_info,частично,линолеум,3
23000000,1,33.0,8/10,0.8,Ауэзовский р-н,0.51,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.8
28500000,2,43.0,2/5,0.4,Алмалинский р-н,0.075,1973,no_info,балкон,да,no_info,no_info,no_info,частично,линолеум,
35000000,2,45.0,5/9,0.56,Бостандыкский р-н,1.0,2022,no_info,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,2.7
30603200,2,49.36,12/16,0.75,Алмалинский р-н,0.075,2023,совмещенный,балкон,да,металлическая,проводной,паркинг,no_info,no_info,2.9
33500000,3,60.0,3/5,0.6,Бостандыкский р-н,1.0,1975,no_info,балкон,no_info,no_info,no_info,рядом охраняемая стоянка,полностью,ламинат,2
29000000,3,60.0,4/4,1.0,Бостандыкский р-н,1.0,1966,no_info,балкон,да,металлическая,no_info,no_info,без мебели,ламинат,
48000000,3,74.0,1/5,0.2,Алатауский р-н,1e-10,2019,no_info,no_info,нет,металлическая,через TV кабель,паркинг,частично,линолеум,2.7
31500000,2,68.5,8/9,0.89,Турксибский р-н,0.083,2023,no_info,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,
24000000,2,42.0,1/5,0.2,Алмалинский р-н,0.075,1985,no_info,no_info,no_info,металлическая,no_info,no_info,no_info,линолеум,2.8
33500000,3,60.0,3/5,0.6,Бостандыкский р-н,1.0,1975,,,,,,,,,
16500000,1,30.1,2/4,0.5,Медеуский р-н,0.69,1966,no_info,балкон,да,металлическая,оптика,паркинг,без мебели,дерево,
19800000,1,32.0,3/4,0.75,Ауэзовский р-н,0.51,1971,no_info,балкон,да,металлическая,через TV кабель,рядом охраняемая стоянка,частично,линолеум,
24000000,2,51.0,3/5,0.6,Алматы,,1990,,,,,,,,,
23630000,1,37.0,2/5,0.4,Алатауский р-н,1e-10,2013,no_info,балкон,no_info,металлическая,ADSL,рядом охраняемая стоянка,частично,линолеум,
20000000,1,40.3,1/5,0.2,Турксибский р-н,0.083,2016,no_info,no_info,no_info,металлическая,ADSL,no_info,частично,no_info,2.8
31000000,2,42.0,3/5,0.6,Ауэзовский р-н,0.51,1984,no_info,балкон,да,металлическая,проводной,паркинг,частично,линолеум,3
8100000,1,13.0,4/4,1.0,Ауэзовский р-н,0.51,1969,no_info,no_info,no_info,no_info,no_info,рядом охраняемая стоянка,частично,линолеум,
19000000,1,44.8,7/7,1.0,Алатауский р-н,1e-10,2015,совмещенный,балкон,да,металлическая,no_info,рядом охраняемая стоянка,частично,ламинат,
12000000,1,18.0,3/4,0.75,Ауэзовский р-н,0.51,1969,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
24500000,2,44.0,3/4,0.75,Ауэзовский р-н,0.51,1965,no_info,балкон,no_info,металлическая,оптика,рядом охраняемая стоянка,частично,no_info,
20000000,1,28.0,1/10,0.1,Наурызбайский р-н,0.11,2019,no_info,no_info,no_info,металлическая,проводной,паркинг,no_info,плитка,2.7
75000000,2,85.0,5/9,0.56,Алмалинский р-н,0.075,2015,no_info,лоджия,да,no_info,ADSL,паркинг,частично,no_info,3
36500000,2,60.0,11/12,0.92,Бостандыкский р-н,1.0,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.74
24500000,2,43.0,1/4,0.25,Ауэзовский р-н,0.51,1968,,,,,,,,,
35000000,3,75.5,1/5,0.2,Алматы,,2018,no_info,балкон,да,металлическая,оптика,no_info,полностью,линолеум,
27900000,1,39.0,5/10,0.5,Алмалинский р-н,0.075,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.7
21500000,2,60.0,2/9,0.22,Наурызбайский р-н,0.11,2014,no_info,балкон,да,металлическая,no_info,no_info,полностью,линолеум,
53000000,2,72.0,3/12,0.25,Бостандыкский р-н,1.0,2019,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
38000000,2,55.0,7/9,0.78,Наурызбайский р-н,0.11,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
34000000,2,44.0,5/5,1.0,Алмалинский р-н,0.075,1978,no_info,балкон,да,металлическая,проводной,рядом охраняемая стоянка,полностью,линолеум,2.7
26500000,2,40.0,4/4,1.0,Бостандыкский р-н,1.0,1963,no_info,no_info,no_info,no_info,no_info,no_info,частично,no_info,
36500000,2,60.0,4/12,0.33,Бостандыкский р-н,1.0,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.74
16744600,1,28.87,16/16,1.0,Алмалинский р-н,0.075,2024,no_info,no_info,no_info,металлическая,no_info,паркинг,без мебели,no_info,2.9
28500000,3,60.0,4/4,1.0,Ауэзовский р-н,0.51,1963,no_info,no_info,да,металлическая,через TV кабель,рядом охраняемая стоянка,частично,линолеум,
8500000,1,21.0,2/2,1.0,Турксибский р-н,0.083,1961,no_info,no_info,да,металлическая,no_info,рядом охраняемая стоянка,no_info,линолеум,2.8
13000000,1,17.0,3/5,0.6,Алмалинский р-н,0.075,1978,,,,,,,,,
35796800,3,68.84,10/16,0.62,Алмалинский р-н,0.075,2024,no_info,балкон,no_info,металлическая,no_info,паркинг,без мебели,no_info,2.9
36500000,3,73.9,4/9,0.44,Алатауский р-н,1e-10,2014,no_info,балкон,да,металлическая,no_info,no_info,полностью,ламинат,2.8
23000000,1,33.0,5/5,1.0,Бостандыкский р-н,1.0,1976,no_info,балкон,no_info,no_info,no_info,no_info,полностью,no_info,
23500000,1,35.0,5/5,1.0,Бостандыкский р-н,1.0,1987,no_info,балкон,no_info,no_info,no_info,no_info,частично,no_info,
36000000,1,45.0,3/9,0.33,Ауэзовский р-н,0.51,2001,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.8
35000000,2,51.4,14/17,0.82,Бостандыкский р-н,1.0,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.7
23000000,2,43.0,4/4,1.0,Алмалинский р-н,0.075,1965,no_info,балкон,да,металлическая,no_info,no_info,полностью,линолеум,
35500000,3,89.0,1/10,0.1,Наурызбайский р-н,0.11,2020,no_info,no_info,да,no_info,no_info,no_info,полностью,ламинат,2.8
29200000,2,42.5,12/12,1.0,Наурызбайский р-н,0.11,2022,совмещенный,no_info,no_info,металлическая,ADSL,паркинг,полностью,ламинат,2.8
33000000,3,60.0,1/4,0.25,Бостандыкский р-н,1.0,1971,no_info,no_info,no_info,no_info,no_info,no_info,полностью,паркет,
25000000,1,32.0,5/5,1.0,Бостандыкский р-н,1.0,1979,,,,,,,,,
31000000,2,52.0,2/5,0.4,Алмалинский р-н,0.075,1985,no_info,no_info,да,металлическая,ADSL,рядом охраняемая стоянка,частично,линолеум,
23000000,1,41.0,1/6,0.17,Наурызбайский р-н,0.11,2023,no_info,балкон и лоджия,no_info,no_info,проводной,no_info,no_info,no_info,
23200000,1,47.0,7/9,0.78,Алатауский р-н,1e-10,2010,,,,,,,,,
35000000,2,50.0,13/16,0.81,Медеуский р-н,0.69,2020,совмещенный,no_info,no_info,металлическая,no_info,паркинг,no_info,no_info,2.8
40000000,2,60.0,1/1,1.0,Алматы,,2015,no_info,балкон и лоджия,no_info,металлическая,проводной,паркинг,частично,ламинат,2.8
34000000,3,56.0,2/3,0.67,Бостандыкский р-н,1.0,1960,,,,,,,,,
24000000,1,45.0,4/5,0.8,Турксибский р-н,0.083,2017,no_info,балкон,no_info,деревянная,проводной,no_info,полностью,ламинат,2.8
8000000,1,13.0,1/5,0.2,Жетысуский р-н,0.076,1988,no_info,no_info,no_info,металлическая,через TV кабель,рядом охраняемая стоянка,частично,линолеум,2.8
