price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
40000000,1,47.0,4/25,0.16,Бостандыкский р-н,1.0,2014,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.8
40000000,2,50.0,5/12,0.42,Алмалинский р-н,0.075,2017,раздельный,балкон,no_info,металлическая,ADSL,паркинг,частично,ламинат,2.7
40000000,1,42.2,9/9,1.0,Медеуский р-н,0.69,1991,no_info,лоджия,да,металлическая,ADSL,рядом охраняемая стоянка,полностью,ламинат,2.5
40000000,3,60.0,1/5,0.2,Бостандыкский р-н,1.0,1971,no_info,no_info,no_info,no_info,no_info,no_info,полностью,no_info,
40000000,2,62.5,3/10,0.3,Ауэзовский р-н,0.51,2018,совмещенный,несколько балконов или лоджий,да,металлическая,оптика,рядом охраняемая стоянка,полностью,линолеум,2.8
40000000,3,68.3,5/5,1.0,Турксибский р-н,0.083,1993,no_info,балкон,да,металлическая,ADSL,no_info,полностью,линолеум,2.8
40000000,2,48.0,10/13,0.77,Бостандыкский р-н,1.0,2019,,,,,,,,,
40000000,2,59.0,8/12,0.67,Алатауский р-н,1e-10,2022,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
40000000,2,54.4,3/9,0.33,Наурызбайский р-н,0.11,2023,совмещенный,балкон,да,металлическая,no_info,паркинг,полностью,ламинат,2.9
40000000,2,54.0,3/5,0.6,Бостандыкский р-н,1.0,1983,no_info,несколько балконов или лоджий,no_info,no_info,оптика,no_info,no_info,ламинат,2.8
40000000,1,33.0,2/5,0.4,Алмалинский р-н,0.075,1979,no_info,no_info,no_info,металлическая,no_info,рядом охраняемая стоянка,no_info,ламинат,2.7
40000000,1,34.0,4/4,1.0,Медеуский р-н,0.69,1969,no_info,балкон,да,металлическая,оптика,рядом охраняемая стоянка,частично,паркет,
40000000,2,62.9,2/5,0.4,Бостандыкский р-н,1.0,1989,no_info,no_info,no_info,no_info,no_info,no_info,полностью,no_info,
40000000,3,55.8,5/5,1.0,Бостандыкский р-н,1.0,1980,,,,,,,,,
40000000,3,62.0,4/5,0.8,Бостандыкский р-н,1.0,1981,no_info,балкон,no_info,no_info,no_info,no_info,частично,ламинат,2.65
40000000,1,49.0,4/7,0.57,Алмалинский р-н,0.075,1976,no_info,no_info,no_info,бронированная,no_info,no_info,no_info,no_info,
40000000,3,77.0,4/9,0.44,Наурызбайский р-н,0.11,2023,,,,,,,,,
40000000,3,70.0,6/9,0.67,Ауэзовский р-н,0.51,1986,no_info,лоджия,да,металлическая,no_info,рядом охраняемая стоянка,частично,линолеум,
40000000,3,67.0,4/5,0.8,Алмалинский р-н,0.075,1978,no_info,балкон,да,металлическая,ADSL,рядом охраняемая стоянка,частично,линолеум,
40000000,2,56.0,1/6,0.17,Жетысуский р-н,0.076,2010,no_info,балкон,да,металлическая,через TV кабель,паркинг,полностью,no_info,2.7
40000000,2,60.0,6/9,0.67,Ауэзовский р-н,0.51,1983,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
40000000,2,48.8,3/13,0.23,Бостандыкский р-н,1.0,2022,раздельный,лоджия,да,металлическая,оптика,паркинг,без мебели,ламинат,3
40000000,3,62.0,4/5,0.8,Бостандыкский р-н,1.0,1981,no_info,no_info,no_info,no_info,no_info,no_info,частично,ламинат,2.55
40000000,2,53.0,1/12,0.08,Ауэзовский р-н,0.51,2018,совмещенный,балкон,да,металлическая,проводной,паркинг,полностью,паркет,2.75
40000000,2,60.0,1/12,0.08,Алатауский р-н,1e-10,2021,no_info,no_info,no_info,металлическая,no_info,no_info,частично,ламинат,2.7
