price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
45500000,3,67.0,3/5,0.6,Жетысуский р-н,0.076,1983,no_info,несколько балконов или лоджий,да,no_info,ADSL,рядом охраняемая стоянка,частично,ламинат,2.8
45500000,3,72.0,1/9,0.11,Ауэзовский р-н,0.51,1983,no_info,балкон,да,металлическая,no_info,no_info,частично,no_info,
45500000,3,66.0,5/5,1.0,Бостандыкский р-н,1.0,1993,no_info,балкон и лоджия,да,металлическая,ADSL,рядом охраняемая стоянка,частично,ламинат,2.8
45500000,3,83.1,12/16,0.75,Наурызбайский р-н,0.11,2019,раздельный,no_info,no_info,no_info,no_info,паркинг,полностью,no_info,2.7
45500000,3,75.0,3/8,0.38,Медеуский р-н,0.69,1973,no_info,лоджия,да,бронированная,no_info,рядом охраняемая стоянка,частично,паркет,
45500000,1,49.0,9/13,0.69,Ауэзовский р-н,0.51,2017,совмещенный,лоджия,да,металлическая,no_info,no_info,полностью,no_info,
45500000,3,72.0,9/9,1.0,Ауэзовский р-н,0.51,1990,no_info,лоджия,да,металлическая,ADSL,рядом охраняемая стоянка,частично,ламинат,
45500000,3,83.1,12/16,0.75,Наурызбайский р-н,0.11,2019,совмещенный,балкон,да,металлическая,ADSL,паркинг,полностью,no_info,2.7
45500000,2,90.0,12/12,1.0,Алмалинский р-н,0.075,2015,no_info,балкон и лоджия,да,бронированная,no_info,паркинг,no_info,ламинат,2.7
45500000,3,76.3,1/9,0.11,Ауэзовский р-н,0.51,1990,no_info,балкон,да,металлическая,ADSL,паркинг,частично,no_info,
45500000,3,76.3,1/9,0.11,Ауэзовский р-н,0.51,1990,no_info,балкон,да,металлическая,ADSL,no_info,частично,no_info,
45500000,2,60.0,7/12,0.58,Бостандыкский р-н,1.0,2023,no_info,no_info,no_info,бронированная,no_info,no_info,без мебели,no_info,
45500000,2,56.0,8/12,0.67,Алматы,,2019,совмещенный,балкон,no_info,металлическая,ADSL,no_info,полностью,ламинат,2.8
45500000,3,83.1,12/16,0.75,Наурызбайский р-н,0.11,2019,раздельный,балкон,да,no_info,ADSL,рядом охраняемая стоянка,полностью,линолеум,2.7
45500000,3,83.3,14/16,0.88,Алатауский р-н,1e-10,2016,no_info,лоджия,да,no_info,no_info,паркинг,частично,no_info,2.6
45500000,2,47.0,15/16,0.94,Бостандыкский р-н,1.0,2019,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.85
45500000,2,71.8,8/9,0.89,Алмалинский р-н,0.075,2014,совмещенный,no_info,no_info,металлическая,оптика,паркинг,no_info,ламинат,3
45500000,3,75.0,3/8,0.38,Медеуский р-н,0.69,1973,no_info,лоджия,да,бронированная,no_info,no_info,частично,no_info,2.9
