price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
106000000,4,115.0,4/9,0.44,Бостандыкский р-н,1.0,2018,2 с/у и более,no_info,no_info,металлическая,ADSL,no_info,полностью,паркет,3.2
106000000,3,80.0,8/19,0.42,Бостандыкский р-н,1.0,2023,совмещенный,no_info,no_info,no_info,no_info,паркинг,без мебели,паркет,3
106000000,4,136.0,6/7,0.86,Ауэзовский р-н,0.51,2019,2 с/у и более,несколько балконов или лоджий,да,металлическая,оптика,паркинг,частично,ламинат,2.8
106000000,3,115.2,10/12,0.83,Бостандыкский р-н,1.0,2023,2 с/у и более,балкон,no_info,no_info,no_info,паркинг,no_info,no_info,3
106000000,4,130.0,5/10,0.5,Алмалинский р-н,0.075,2013,раздельный,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.7
106000000,3,108.0,4/16,0.25,Бостандыкский р-н,1.0,2022,2 с/у и более,лоджия,да,металлическая,ADSL,паркинг,полностью,ламинат,2.7
105959999,2,83.0,10/17,0.59,Бостандыкский р-н,1.0,2022,2 с/у и более,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,3
105900000,2,75.0,12/17,0.71,Медеуский р-н,0.69,2021,совмещенный,лоджия,no_info,no_info,ADSL,паркинг,no_info,ламинат,3
105885884,3,105.0,12/12,1.0,Бостандыкский р-н,1.0,2024,2 с/у и более,лоджия,да,бронированная,no_info,no_info,no_info,no_info,3
105745500,3,111.9,1/1,1.0,Бостандыкский р-н,1.0,2024,,,,,,,,,
105600000,3,105.6,6/10,0.6,Бостандыкский р-н,1.0,2024,no_info,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,3
105468000,3,117.7,11/11,1.0,Медеуский р-н,0.69,2022,no_info,no_info,no_info,no_info,no_info,паркинг,без мебели,ламинат,3
105400000,3,106.0,1/6,0.17,Медеуский р-н,0.69,2017,no_info,no_info,no_info,no_info,no_info,паркинг,частично,no_info,3.6
105058000,3,103.25,1/1,1.0,Медеуский р-н,0.69,2023,,,,,,,,,
105000000,4,120.0,2/7,0.29,Алмалинский р-н,0.075,2004,no_info,лоджия,да,металлическая,ADSL,рядом охраняемая стоянка,без мебели,ламинат,
105000000,2,104.0,5/8,0.62,Бостандыкский р-н,1.0,2010,2 с/у и более,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,3
105000000,3,91.0,4/17,0.24,Медеуский р-н,0.69,2018,no_info,no_info,no_info,металлическая,no_info,no_info,частично,ламинат,
105000000,5,220.0,8/9,0.89,Ауэзовский р-н,0.51,2008,no_info,no_info,no_info,no_info,no_info,no_info,no_info,ламинат,2.8
105000000,3,101.0,2/7,0.29,Медеуский р-н,0.69,2017,совмещенный,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,3.8
105000000,3,117.9,5/16,0.31,Бостандыкский р-н,1.0,2023,2 с/у и более,несколько балконов или лоджий,да,бронированная,оптика,паркинг,без мебели,no_info,3
105000000,3,117.8,13/16,0.81,Алмалинский р-н,0.075,2015,2 с/у и более,no_info,no_info,бронированная,no_info,no_info,полностью,ламинат,2.7
105000000,3,80.0,12/13,0.92,Алмалинский р-н,0.075,2022,2 с/у и более,лоджия,да,металлическая,ADSL,паркинг,полностью,ламинат,3
