price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
24000000,2,63.3,6/6,1.0,Жетысуский р-н,0.076,2008,no_info,несколько балконов или лоджий,да,металлическая,no_info,no_info,без мебели,линолеум,2.8
13700000,1,26.0,2/9,0.22,Наурызбайский р-н,0.11,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.7
25000000,1,36.0,5/5,1.0,Ауэзовский р-н,0.51,1994,no_info,балкон,да,металлическая,no_info,no_info,частично,no_info,2.8
32500000,2,50.0,9/15,0.6,Бостандыкский р-н,1.0,2023,no_info,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,2.8
15200000,1,36.0,4/9,0.44,Жетысуский р-н,0.076,2023,no_info,лоджия,no_info,no_info,no_info,no_info,no_info,no_info,2.7
35000000,2,86.0,1/16,0.06,Наурызбайский р-н,0.11,2012,no_info,no_info,no_info,бронированная,через TV кабель,рядом охраняемая стоянка,частично,ламинат,2.8
35000000,3,56.0,2/5,0.4,Ауэзовский р-н,0.51,1983,no_info,балкон,да,металлическая,оптика,рядом охраняемая стоянка,частично,ламинат,2.4
26500000,2,40.0,4/4,1.0,Бостандыкский р-н,1.0,1963,no_info,балкон,да,металлическая,no_info,рядом охраняемая стоянка,полностью,no_info,
13500000,1,32.0,1/2,0.5,Алатауский р-н,1e-10,1970,no_info,no_info,no_info,металлическая,ADSL,паркинг,полностью,линолеум,2.7
25000000,1,32.0,1/5,0.2,Жетысуский р-н,0.076,2004,no_info,no_info,no_info,металлическая,ADSL,рядом охраняемая стоянка,полностью,ламинат,2.8
17900000,1,31.0,1/4,0.25,Жетысуский р-н,0.076,1985,no_info,балкон,да,металлическая,через TV кабель,no_info,no_info,no_info,
13000000,1,17.0,3/5,0.6,Алмалинский р-н,0.075,1978,no_info,no_info,no_info,металлическая,ADSL,no_info,полностью,линолеум,2.8
36000000,1,40.0,8/12,0.67,Бостандыкский р-н,1.0,2017,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,3
25500000,2,52.0,2/5,0.4,Наурызбайский р-н,0.11,1990,no_info,балкон,no_info,no_info,no_info,no_info,no_info,no_info,2.8
14500000,1,26.0,1/10,0.1,Наурызбайский р-н,0.11,2019,совмещенный,балкон,no_info,металлическая,no_info,паркинг,без мебели,линолеум,2.7
36000000,3,60.0,2/4,0.5,Бостандыкский р-н,1.0,1966,no_info,балкон,да,металлическая,через TV кабель,no_info,частично,ламинат,
34000000,2,69.1,2/3,0.67,Наурызбайский р-н,0.11,2023,no_info,no_info,no_info,металлическая,no_info,паркинг,no_info,no_info,3
34500000,1,46.0,7/9,0.78,Бостандыкский р-н,1.0,2006,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.8
30900000,2,60.0,5/5,1.0,Жетысуский р-н,0.076,1986,no_info,лоджия,да,бронированная,оптика,рядом охраняемая стоянка,частично,ламинат,
18000000,1,36.0,3/6,0.5,Жетысуский р-н,0.076,2012,no_info,балкон,да,деревянная,no_info,рядом охраняемая стоянка,частично,линолеум,
35900000,3,65.0,4/5,0.8,Жетысуский р-н,0.076,1985,no_info,балкон,да,металлическая,через TV кабель,no_info,no_info,no_info,
46000000,3,93.0,1/5,0.2,Турксибский р-н,0.083,1994,no_info,no_info,no_info,металлическая,ADSL,no_info,no_info,ламинат,
24000000,2,47.3,5/10,0.5,Наурызбайский р-н,0.11,2019,совмещенный,балкон,no_info,бронированная,ADSL,паркинг,полностью,ламинат,2.7
22800000,1,38.3,10/12,0.83,Наурызбайский р-н,0.11,2020,no_info,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,2.7
29000000,3,56.0,2/5,0.4,Жетысуский р-н,0.076,1986,no_info,лоджия,да,бронированная,оптика,рядом охраняемая стоянка,частично,no_info,
30000000,2,44.0,1/4,0.25,Бостандыкский р-н,1.0,1973,no_info,no_info,no_info,бронированная,проводной,no_info,частично,no_info,2.7
