price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
17500000,1,45.0,2/6,0.33,Алатауский р-н,1e-10,2023,no_info,no_info,no_info,no_info,ADSL,паркинг,no_info,no_info,2.7
22000000,1,33.0,1/5,0.2,Ауэзовский р-н,0.51,1979,,,,,,,,,
27000000,1,47.0,6/9,0.67,Наурызбайский р-н,0.11,2018,no_info,балкон,да,металлическая,ADSL,no_info,частично,no_info,
33000000,3,58.0,2/4,0.5,Ауэзовский р-н,0.51,1967,no_info,no_info,no_info,металлическая,через TV кабель,no_info,no_info,линолеум,
14800000,1,13.0,2/5,0.4,Алмалинский р-н,0.075,1982,no_info,no_info,no_info,no_info,no_info,no_info,частично,линолеум,2.5
28500000,2,70.0,9/9,1.0,Алатауский р-н,1e-10,2013,no_info,несколько балконов или лоджий,no_info,no_info,no_info,no_info,без мебели,no_info,2.8
19900000,1,48.0,8/9,0.89,Турксибский р-н,0.083,2024,совмещенный,лоджия,да,металлическая,оптика,паркинг,no_info,no_info,2.75
27000000,1,37.7,2/12,0.17,Ауэзовский р-н,0.51,2023,совмещенный,лоджия,да,no_info,no_info,паркинг,no_info,no_info,3
35000000,2,48.0,1/1,1.0,Алатауский р-н,1e-10,2021,no_info,no_info,no_info,no_info,ADSL,паркинг,полностью,ламинат,
28500000,2,67.7,9/10,0.9,Турксибский р-н,0.083,2022,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.85
35000000,2,66.0,1/3,0.33,Бостандыкский р-н,1.0,2023,раздельный,балкон и лоджия,no_info,металлическая,no_info,паркинг,no_info,no_info,3
35800000,3,64.0,5/5,1.0,Алмалинский р-н,0.075,1973,no_info,балкон,да,металлическая,ADSL,рядом охраняемая стоянка,частично,no_info,
32000000,3,58.5,4/5,0.8,Ауэзовский р-н,0.51,1982,no_info,no_info,no_info,металлическая,no_info,рядом охраняемая стоянка,полностью,ламинат,2.8
36000000,3,73.0,1/5,0.2,Ауэзовский р-н,0.51,1994,no_info,no_info,no_info,металлическая,no_info,гараж,полностью,линолеум,2.8
35500000,3,60.0,4/5,0.8,Алмалинский р-н,0.075,1977,no_info,балкон,да,металлическая,no_info,рядом охраняемая стоянка,частично,no_info,2.8
46000000,3,77.0,2/12,0.17,Медеуский р-н,0.69,1971,no_info,лоджия,да,no_info,проводной,паркинг,no_info,no_info,
29500000,2,58.7,10/12,0.83,Алатауский р-н,1e-10,2019,раздельный,лоджия,no_info,металлическая,ADSL,паркинг,частично,паркет,2.75
43000000,3,83.0,3/9,0.33,Медеуский р-н,0.69,2019,раздельный,лоджия,no_info,металлическая,no_info,no_info,no_info,no_info,2.7
