price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
34000000,1,33.0,3/5,0.6,Медеуский р-н,0.69,1973,no_info,балкон,да,металлическая,no_info,рядом охраняемая стоянка,полностью,ламинат,2.7
35500000,1,40.0,9/12,0.75,Бостандыкский р-н,1.0,2019,совмещенный,балкон,да,металлическая,проводной,паркинг,частично,ламинат,2.8
14200000,1,25.0,9/9,1.0,Ауэзовский р-н,0.51,2015,no_info,no_info,no_info,металлическая,через TV кабель,паркинг,частично,линолеум,2.8
28500000,2,46.0,2/4,0.5,Ауэзовский р-н,0.51,1967,no_info,балкон,да,металлическая,оптика,рядом охраняемая стоянка,полностью,линолеум,2.6
23000000,1,30.0,2/5,0.4,Бостандыкский р-н,1.0,1979,no_info,балкон,да,no_info,no_info,no_info,no_info,no_info,2.5
28500000,2,43.2,5/5,1.0,Бостандыкский р-н,1.0,1984,no_info,балкон,no_info,no_info,no_info,no_info,полностью,паркет,
32700000,1,46.0,9/10,0.9,Бостандыкский р-н,1.0,2013,no_info,несколько балконов или лоджий,no_info,бронированная,ADSL,паркинг,полностью,ламинат,2.9
29500000,2,47.1,9/12,0.75,Жетысуский р-н,0.076,2022,совмещенный,балкон,да,бронированная,no_info,рядом охраняемая стоянка,без мебели,ламинат,2.8
32000000,2,47.0,9/10,0.9,Турксибский р-н,0.083,2021,совмещенный,балкон,no_info,металлическая,no_info,no_info,полностью,ламинат,2.7
25800000,2,47.0,8/10,0.8,Турксибский р-н,0.083,2019,no_info,лоджия,no_info,no_info,оптика,паркинг,полностью,ламинат,2.7
18800000,2,47.0,7/10,0.7,Наурызбайский р-н,0.11,2019,совмещенный,балкон,no_info,металлическая,оптика,паркинг,no_info,no_info,2.7
21500000,2,41.0,2/6,0.33,Алатауский р-н,1e-10,2023,no_info,балкон,no_info,металлическая,ADSL,паркинг,частично,ламинат,2.8
27900000,2,61.2,8/10,0.8,Медеуский р-н,0.69,2022,2 с/у и более,балкон и лоджия,да,металлическая,no_info,паркинг,no_info,no_info,2.85
25900000,2,61.0,1/9,0.11,Наурызбайский р-н,0.11,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.7
18000000,1,40.0,3/4,0.75,Жетысуский р-н,0.076,2013,совмещенный,no_info,no_info,металлическая,no_info,no_info,no_info,ламинат,
23000000,1,35.0,4/5,0.8,Бостандыкский р-н,1.0,1982,no_info,балкон,нет,металлическая,проводной,no_info,полностью,ламинат,2.7
24500000,1,31.0,3/4,0.75,Алмалинский р-н,0.075,1963,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
36500000,2,42.5,5/5,1.0,Алмалинский р-н,0.075,1977,no_info,балкон,да,металлическая,оптика,рядом охраняемая стоянка,полностью,линолеум,
19500000,1,31.0,3/5,0.6,Жетысуский р-н,0.076,1986,no_info,балкон,да,деревянная,ADSL,паркинг,полностью,линолеум,
21300000,1,35.0,3/5,0.6,Жетысуский р-н,0.076,1989,no_info,балкон,да,металлическая,ADSL,рядом охраняемая стоянка,частично,ламинат,
34000000,2,78.81,4/9,0.44,Ауэзовский р-н,0.51,2023,совмещенный,лоджия,да,металлическая,оптика,паркинг,без мебели,no_info,2.8
28999000,3,60.0,5/5,1.0,Жетысуский р-н,0.076,1985,no_info,лоджия,да,металлическая,ADSL,рядом охраняемая стоянка,полностью,no_info,2.7
22500000,1,36.5,4/5,0.8,Турксибский р-н,0.083,2002,no_info,no_info,no_info,металлическая,no_info,no_info,no_info,no_info,2.8
30500000,2,52.0,2/5,0.4,Жетысуский р-н,0.076,1989,no_info,несколько балконов или лоджий,да,металлическая,проводной,рядом охраняемая стоянка,частично,линолеум,2.8
26500000,3,60.0,2/4,0.5,Ауэзовский р-н,0.51,1968,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.7
24500000,2,45.0,1/4,0.25,Ауэзовский р-н,0.51,1966,no_info,no_info,no_info,no_info,no_info,no_info,частично,ламинат,2.7
26500000,1,40.0,3/8,0.38,Бостандыкский р-н,1.0,1977,no_info,no_info,no_info,металлическая,ADSL,no_info,частично,линолеум,
15500000,1,44.0,2/4,0.5,Наурызбайский р-н,0.11,2023,совмещенный,балкон,no_info,металлическая,no_info,рядом охраняемая стоянка,no_info,no_info,2.8
34515000,1,53.1,20/20,1.0,Ауэзовский р-н,0.51,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,3
23500000,1,32.0,5/5,1.0,Бостандыкский р-н,1.0,1977,no_info,no_info,no_info,металлическая,no_info,no_info,полностью,ламинат,
33499000,2,46.0,3/5,0.6,Бостандыкский р-н,1.0,1981,no_info,балкон,да,металлическая,no_info,no_info,no_info,линолеум,2.4
33700000,2,63.1,7/9,0.78,Алатауский р-н,1e-10,2010,no_info,балкон,да,металлическая,ADSL,рядом охраняемая стоянка,полностью,ламинат,2.8
67000000,2,75.0,4/7,0.57,Алмалинский р-н,0.075,1977,no_info,no_info,no_info,no_info,ADSL,рядом охраняемая стоянка,полностью,паркет,2.8
17950000,1,43.0,3/3,1.0,Турксибский р-н,0.083,1972,no_info,балкон,no_info,металлическая,no_info,no_info,no_info,no_info,
25500000,1,41.0,2/5,0.4,Ауэзовский р-н,0.51,1994,no_info,лоджия,да,металлическая,no_info,no_info,частично,no_info,2.8
36000000,2,55.0,4/5,0.8,Ауэзовский р-н,0.51,1987,no_info,балкон,да,металлическая,no_info,рядом охраняемая стоянка,без мебели,ламинат,
30000000,1,45.0,1/5,0.2,Бостандыкский р-н,1.0,1986,no_info,балкон,да,металлическая,оптика,no_info,частично,линолеум,2.7
33000000,2,54.0,5/5,1.0,Медеуский р-н,0.69,1987,no_info,no_info,no_info,no_info,no_info,no_info,полностью,паркет,2.8
32000000,2,52.7,3/5,0.6,Жетысуский р-н,0.076,1985,no_info,балкон,да,металлическая,оптика,no_info,частично,линолеум,2.6
25900000,1,35.1,2/5,0.4,Ауэзовский р-н,0.51,1974,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
33900000,1,37.0,12/13,0.92,Ауэзовский р-н,0.51,2021,раздельный,лоджия,да,металлическая,ADSL,рядом охраняемая стоянка,полностью,ламинат,2.8
36000000,3,66.0,1/5,0.2,Бостандыкский р-н,1.0,1976,,,,,,,,,
17700000,1,30.0,3/9,0.33,Алатауский р-н,1e-10,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
20500000,1,31.8,4/4,1.0,Ауэзовский р-н,0.51,1980,no_info,лоджия,да,металлическая,оптика,рядом охраняемая стоянка,полностью,линолеум,
15000000,1,18.6,5/5,1.0,Алмалинский р-н,0.075,1985,no_info,балкон,да,металлическая,проводной,рядом охраняемая стоянка,частично,линолеум,2.8
35500000,2,60.0,7/9,0.78,Алмалинский р-н,0.075,1989,,,,,,,,,
36000000,2,58.0,1/5,0.2,Ауэзовский р-н,0.51,1991,no_info,балкон,no_info,no_info,no_info,рядом охраняемая стоянка,полностью,линолеум,
300000000,4,180.0,1/3,0.33,Медеуский р-н,0.69,2019,2 с/у и более,несколько балконов или лоджий,no_info,no_info,no_info,паркинг,no_info,паркет,3
53500000,3,70.0,3/21,0.14,Алмалинский р-н,0.075,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,2.7
25000000,1,40.0,2/9,0.22,Ауэзовский р-н,0.51,1984,no_info,лоджия,да,металлическая,ADSL,рядом охраняемая стоянка,полностью,no_info,
18600000,1,45.88,8/12,0.67,Алатауский р-н,1e-10,2023,no_info,балкон и лоджия,да,металлическая,no_info,паркинг,no_info,no_info,2.85
21000000,2,57.0,2/6,0.33,Наурызбайский р-н,0.11,2022,no_info,балкон,no_info,металлическая,no_info,паркинг,no_info,no_info,2.7
28600000,1,47.0,2/3,0.67,Наурызбайский р-н,0.11,2023,,,,,,,,,
26700000,1,39.0,14/16,0.88,Наурызбайский р-н,0.11,2019,совмещенный,балкон,да,металлическая,ADSL,паркинг,полностью,ламинат,2.7
150000000,3,125.0,1/3,0.33,Медеуский р-н,0.69,2018,2 с/у и более,no_info,no_info,металлическая,оптика,no_info,no_info,no_info,3.25
19800000,1,45.0,3/9,0.33,Алатауский р-н,1e-10,2013,no_info,балкон,да,no_info,ADSL,рядом охраняемая стоянка,полностью,линолеум,2.7
25500000,1,33.0,4/5,0.8,Алмалинский р-н,0.075,1973,no_info,no_info,no_info,металлическая,оптика,no_info,полностью,no_info,
30500000,2,41.0,4/4,1.0,Бостандыкский р-н,1.0,1963,no_info,балкон,да,бронированная,no_info,no_info,полностью,no_info,
21769620,1,46.22,10/13,0.77,Ауэзовский р-н,0.51,2023,совмещенный,лоджия,да,металлическая,ADSL,паркинг,без мебели,no_info,3
21769620,1,46.22,6/13,0.46,Алматы,,2023,раздельный,лоджия,no_info,металлическая,оптика,паркинг,no_info,no_info,3
30399300,2,72.9,4/13,0.31,Ауэзовский р-н,0.51,2023,совмещенный,лоджия,да,металлическая,ADSL,паркинг,без мебели,no_info,3
21750780,1,46.18,5/13,0.38,Ауэзовский р-н,0.51,2024,совмещенный,лоджия,no_info,металлическая,no_info,паркинг,no_info,no_info,3
31181250,2,83.07,5/13,0.38,Ауэзовский р-н,0.51,2024,no_info,no_info,no_info,металлическая,no_info,паркинг,no_info,no_info,3
26465490,1,56.19,4/13,0.31,Ауэзовский р-н,0.51,2023,совмещенный,лоджия,да,металлическая,ADSL,паркинг,без мебели,no_info,3
23667750,1,50.25,10/13,0.77,Ауэзовский р-н,0.51,2024,совмещенный,лоджия,да,металлическая,ADSL,паркинг,без мебели,no_info,3
18000000,1,35.8,2/4,0.5,Алатауский р-н,1e-10,2014,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
